Fecha Creación,Mesa,Negocio,No. Factura,Total,Categoría,Producto,Precio de venta,Cantidad,Total,Total Bruto,Impuesto,Valor Descuentos,Promoción,Valor Neto,Costo Promedio,Margen de utilidad ($),Margen de utilidad (%)
24/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM399,"$87,200.00",Helados,Monki - Mediano,"$13,900.00",1,"$13,900.00","$12,870.37",INC,$0.00,$0.00,"$12,870.37","$3,000.43","$9,869.94",76.69
24/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM399,"$87,200.00",Toppings,Topping o salsa generico,"$2,500.00",2,"$5,000.00","$4,629.63",INC,$0.00,$0.00,"$4,629.63","$1,800.00","$2,829.63",61.12
24/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM399,"$87,200.00",Helados,Monki - Mini,"$6,900.00",2,"$13,800.00","$12,777.78",INC,$0.00,$0.00,"$12,777.78","$3,013.46","$9,764.32",76.42
24/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM399,"$87,200.00",Helados,Monki - Pequeno,"$10,900.00",1,"$10,900.00","$10,092.59",INC,$0.00,$0.00,"$10,092.59","$1,896.83","$8,195.76",81.21
24/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM399,"$87,200.00",Helados,Monki - Pequeno,"$10,900.00",4,"$43,600.00","$40,370.37",INC,$0.00,$0.00,"$40,370.37","$7,587.32","$32,783.05",81.21
25/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM453,"$86,600.00",Helados,Cono,"$3,900.00",1,"$3,900.00","$3,611.11",INC,$0.00,$0.00,"$3,611.11","$1,314.04","$2,297.07",63.61
25/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM453,"$86,600.00",Helados,Monki - Mini,"$6,900.00",3,"$20,700.00","$19,166.67",INC,$0.00,$0.00,"$19,166.67","$4,520.19","$14,646.48",76.42
25/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM453,"$86,600.00",Toppings,Topping o salsa generico,"$2,500.00",3,"$7,500.00","$6,944.44",INC,$0.00,$0.00,"$6,944.44","$2,700.00","$4,244.44",61.12
25/6/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM453,"$86,600.00",Helados,Monki - Pequeno,"$10,900.00",5,"$54,500.00","$50,462.96",INC,$0.00,$0.00,"$50,462.96","$9,484.15","$40,978.81",81.21
12/10/2025,Caja 1,MONKI HIELO ITALIANO SAS,POSM4934,"$86,600.00",Helados,Hielo - Pequeno,"$11,900.00",1,"$11,900.00","$11,018.52",INC,$0.00,$0.00,"$11,018.52","$2,147.83","$8,870.69",80.51
